_seg_id,x,y,protein_0,protein_1,protein_2,protein_3,protein_4,protein_5,protein_6,protein_7,protein_8,protein_9,protein_10,protein_11,protein_12,protein_13,protein_14,protein_15,protein_16,protein_17,cell_type,region_type,cell_type_id,region_type_id,neighbor_label
136043,400.2833800000008,1662.7302449999995,11.42095588,40.02941176,1.737132353,1.935661765,84.13419118,244.8841912,0.0,0.580882353,262.6305147,0.994485294,15.42095588,160.4834559,0.001838235,0.011029412,0.055147059,0.119485294,78.22426471,141.53125,immune,core,0,0,0
136044,1095.5103199999994,1659.486726,9.259414226,14.44769874,5.161087866,4.460251046,3.784518828,397.7196653,0.0,0.292887029,281.08159,2.585774059,14.63389121,193.7468619,0.0,7.121338912,0.0,0.0,259.9037657,109.7029289,immune,core,0,0,0
136075,487.8292700000002,1661.188153,9.346236559,14.71397849,4.827956989,5.0,3.766454352,441.014862,0.0,0.171974522,290.403397,0.055201699,130.4230769,177.9038462,17.32478632,0.188034188,0.14806867,0.538626609,286.7424893,9.78111588,immune,core,0,0,0
136076,1889.5729200000003,1662.5034720000003,6.126736111,18.11805556,5.300347222,5.5,2.824652778,379.4357639,0.0,0.423611111,316.3368056,7.258680556,1.362847222,193.6631944,0.722222222,22.41840278,0.0,0.0,64.28298611,655.3315972,immune,core,0,0,0
136138,1344.7792200000004,1659.5064940000002,11.19047619,25.95464853,4.653061224,3.723356009,4.163265306,344.3106576,0.0,0.671201814,191.9909297,18.68707483,73.55328798,97.40589569,61.64399093,112.2517007,0.0,0.0,26.11564626,346.1927438,immune,core,0,0,0
136180,217.3650799999996,1664.3841270000005,4.018181818,40.81818182,6.989090909,3.241818182,2.298181818,334.0545455,0.0,2.24,301.0781818,0.0,2.296363636,189.26,0.003636364,0.027272727,0.0,0.0,1.363636364,430.1745455,immune,core,0,0,0
136181,880.09195,1663.9501920000002,62.17737789,98.35989717,2.403598972,0.200514139,5.673521851,457.1053985,0.0,0.645244216,349.8663239,0.0,1.724935733,256.7532134,0.0,3.668380463,0.059125964,0.084832905,280.5835476,40.26478149,immune,core,0,0,0
136182,1251.3193300000005,1663.651261,9.420047733,19.21957041,6.491646778,4.31026253,2.854415274,418.0190931,0.0,0.057279236,135.0453461,112.4582339,50.03579952,125.8711217,120.9498807,3.494033413,0.0,0.0,268.2171838,114.9236277,immune,core,0,0,0
136183,1815.63611,1666.127778,4.503961965,273.5610143,0.0,0.003169572,3.163232964,355.659271,0.0,0.833597464,223.6101426,1.545166403,5.125198098,85.39302694,28.75911252,16.61489699,0.0,0.0,424.2773376,15.42472266,immune,core,0,0,0
136206,657.8636399999996,1668.4475519999996,7.48496994,15.10220441,3.53507014,5.138276553,19.50901804,345.7955912,0.0,2.184368737,267.3326653,0.0,14.18236473,181.0861723,0.046092184,1.567134269,3.100200401,9.615230461,58.85170341,43.28256513,immune,core,0,0,0
136207,709.1081099999992,1666.3153149999998,5.612557427,549.194487,0.0,0.0,11.75344564,383.6493109,0.0,1.313935681,291.0153139,0.0,0.427258806,231.5773354,0.001531394,8.776416539,0.001531394,0.036753446,237.4977029,16.34915773,immune,core,0,0,0
136208,965.0659300000008,1665.1062270000002,9.131696429,274.3236607,0.502232143,0.142857143,3.433035714,448.8638393,0.0,1.337028825,318.3614191,0.00886918,9.243902439,179.9600887,0.305986696,3.696230599,0.0,0.0,46.44766147,392.6481069,immune,core,0,0,0
136209,1231.2646399999994,1668.8758779999998,9.216,21.6832,3.8144,2.8992,15.3488,404.1024,0.0,0.088,119.6352,133.1776,10.4736,90.4528,65.0688,8.6352,0.0,0.0,350.0928,83.5952,immune,core,0,0,0
136210,1409.25806,1665.491935,8.167151163,164.0232558,0.020348837,0.018895349,4.806686047,242.934593,0.014534884,3.058139535,43.21656977,43.85901163,9.61627907,34.74273256,40.16715116,26.0130814,0.095930233,0.07122093,56.83430233,270.7383721,immune,core,0,0,0
136211,1598.1570200000006,1666.0909089999996,12.01763668,24.44356261,21.77954145,18.97442681,8.127546501,110.2976085,21.08237378,10.66284201,77.42365402,33.47043248,10.34424779,66.52035398,23.17079646,73.07876106,9.653404067,5.197170645,3.185676393,278.9292661,immune,core,0,0,0
136243,162.4119499999997,1671.5157230000004,6.134579439,498.011215,0.009345794,0.0,3.813084112,310.0635514,0.0,0.127102804,171.2149533,53.92523364,31.69906542,30.98317757,4.143925234,293.1738318,0.0,0.0,551.046729,7.895327103,immune,core,0,0,0
136244,895.9176499999994,1666.317647,9.523722628,34.31569343,4.049270073,2.753649635,3.687956204,430.2445255,0.0,1.379120879,296.9761905,0.0,27.97287523,218.9132007,0.0,0.0,7.565454545,9.294545455,74.76727273,34.40363636,immune,core,0,0,0
136277,676.74395,1673.195565,14.10799585,48.38733126,1.833852544,2.504672897,21.55244029,422.2772586,0.0,0.933541018,350.5472482,0.003115265,1.747663551,224.357217,0.0,0.0,0.985462098,2.879543094,144.867082,30.61474559,immune,core,0,0,0
136278,1141.76944,1669.3833780000004,8.643717728,16.96901893,5.314974182,4.932874355,3.920826162,479.4320138,0.0,0.149741824,310.9776248,13.80550775,12.58519793,165.3769363,0.091222031,0.17211704,0.0,0.00172117,270.9466437,114.1256454,immune,core,0,0,0
136279,1703.8582100000003,1670.8358209999997,6.354750513,39.52973342,3.517429938,3.243335612,5.452494874,74.81886535,3.245386193,8.028708134,63.00341763,7.784005468,17.74504443,31.54477102,32.43403964,12.93096377,8.170198223,6.969241285,30.05263158,110.4538619,immune,core,0,0,0
136306,461.7615100000002,1668.196653,9.338181818,44.2230303,2.323636364,2.824242424,18.64242424,395.5163636,0.0,0.12969697,254.3248485,11.0230303,66.52727273,139.8630303,0.586666667,0.235151515,0.0,0.0,234.329697,131.1066667,immune,core,0,0,0
136307,818.2535900000003,1667.1291869999995,10.61354582,19.30278884,5.948207171,4.43625498,4.290836653,437.5,0.0,1.380478088,346.7549801,0.0,0.561752988,262.3565737,0.0,0.0,2.241035857,4.065737052,108.6673307,102.4661355,immune,core,0,0,0
